16 16
4
5
13
6 4
   0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0
   0;    0;    0;    0;    2;    2;    0;    0;    0;    0;    2;    0;    0;    0;    0;    0
   0;    0;   2M;    0;    2;   2M;   2M;    0;    0;    0;    2;    2;    2;    0;    0;    0
   0;    0;    2;   2M;    2;   2M;    0;    0;    0;    0;    2;    2;    2;    0;    0;    0
   0;   2M;   2P;    2;    2;   2M;    2;    0;   2M;    0;    2;    2;    2;    0;    0;    0
   0;    0;   2M;   2P;    2;    2;   2M;    2;   2M;    2;    2;    2;    2;    5;   5M;    0
   0;    0;   2M;   2M;    2;    2;    2;    2;    2;    2;   2M;   5P;    5;    5;   5P;    0
   0;   1M;   1M;    1;    0;   2M;   2M;   1M;   1M;   1P;    5;   5M;    0;    0;    0;    0
   0;    1;   1M;   1M;   1M;   1M;   1M;   1M;   1M;   1M;   5M;    5;    0;    5;    5;    0
   0;    1;    1;   9M;   9M;   9M;   1M;   4M;   1M;   5M;   5M;   5M;    0;   5M;    5;    0
   0;    1;    1;    0;    9;   9M;   9M;   7M;   3M;   5M;   5M;   5M;   5M;   5M;    5;    0
   0;    0;    0;    0;    0;    9;    9;    6;    6;    6;    6;    6;   6M;    0;    0;    0
   0;    0;    0;    0;   11;   10;    9;    8;    6;   12;   12;   6M;   6M;    0;    0;    0
   0;    0;    0;    0;    0;   10;    9;    8;    6;   12;   12;    0;    6;    0;    0;    0
   0;    0;    0;    0;    0;    0;    6;    6;    6;   12;    0;    0;    0;    0;    0;    0
   0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0
