32 32
2
24
17
7 23
   0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0
   0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    1;   1M;    1;    1;    1;    1;    1;    1;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0
   0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;   1M;   1M;   1M;    1;    1;   1M;    1;    1;    1;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0
   0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;   1M;   1M;   1M;   1M;   1M;   1P;    1;    1;   1M;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0
   0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    1;   1M;   1P;   1M;    1;    1;    0;    0;    3;    0;    0;    0;    0;    0;    0;    0;    0;    0
   0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    1;    0;   1M;   1M;    1;    1;    1;    1;    3;    3;    3;    0;    0;    0;    0;    0;    0;    0;    0;    0
   0;    0;    0;    0;    0;    0;    0;    0;    0;    1;   1M;    1;    1;    0;    0;   1M;   1M;   1M;    1;   3M;    3;    3;    3;    3;    0;    0;    0;    0;    0;    0;    0;    0
   0;    0;    0;    0;    0;    0;    0;    0;    0;    1;    1;    1;    1;    1;    1;    1;   1M;    1;   1M;   3M;   3M;    3;    3;    3;    0;    0;    0;    0;    0;    0;    0;    0
   0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    1;    1;    1;    1;    1;    1;   1M;    1;   1M;    3;    3;    3;    3;    0;    0;    0;    0;    0;    0;    0;    0
   0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    1;    1;    1;    1;    1;   1M;   3M;   3M;    3;    3;    3;    0;    0;    0;    0;    0;    0;    0;    0
   0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    1;    1;    1;    1;    1;    1;    3;    3;    3;    3;    3;    3;    3;   3P;    0;    0;    0;    0;    0
   0;    0;    0;    0;    0;    0;    0;    0;    6;   6M;   6M;    6;    6;    1;    1;    1;    1;    0;    0;    3;    3;    3;    3;    3;    3;    3;    3;    0;    0;    0;    0;    0
   0;    0;    0;    0;    0;    0;    0;    0;   6M;   6M;   6M;   6M;   1M;    1;   1M;    1;    1;   3M;    3;   3M;    3;    3;    3;    3;    3;    3;    3;    3;    0;    0;    0;    0
   0;    0;    0;    0;    0;    0;    0;    0;   6M;    6;   6P;   6M;   7M;   1M;    1;    1;    1;   3M;   3M;    3;   3P;   3M;   3M;   3M;   3M;    3;    3;    3;    3;    0;    0;    0
   0;    0;    0;    0;    0;    0;    0;    9;    6;   6M;    6;    7;   7M;    7;    1;    1;    1;    1;    3;   3M;    3;   3M;   3M;    3;    3;   3M;   3M;   3M;    3;    0;    0;    0
   0;    0;    0;    0;    0;    0;    0;    0;   6M;    6;   6M;    6;    6;   1M;    1;   1M;    1;    1;   3M;   3M;   3M;   3M;   3M;   3M;    3;    0;   3M;   3M;   3M;    3;    0;    0
   0;    0;    0;    0;    0;   10;    6;    6;    6;   6M;    6;    6;    6;    4;   1M;    1;    1;    1;   2M;    2;   2M;   3M;    3;   3M;  11M;  11M;   11;  11M;   3M;   3M;    0;    0
   0;    0;    0;    0;    0;   10;   10;    6;    6;   6M;    6;    6;    6;    4;    1;    1;    1;    1;    2;    2;    2;    2;   3M;    3;  11M;   11;  11M;  11M;  11M;  11M;   11;    0
   0;    0;    0;    0;    0;   10;   10;   10;    6;   6M;   6M;   4M;   4M;   4M;    4;    1;    1;    2;    2;    2;    2;   2M;   2M;    3;   11;  11M;  11M;  11M;  11M;  11M;    0;    0
   0;    0;    0;    0;    0;  10M;  10M;    0;   6M;   6M;   4M;    4;    4;   4M;    5;   1M;   1M;    2;    2;    2;    2;   2M;   11;   11;   11;   11;   11;   11;   11;  11M;    0;    0
   0;    0;    0;    0;    0;  10M;  10M;    4;   4M;   4M;    4;    4;    4;    4;    5;   5M;   1M;   2M;   2M;    2;    2;    2;   12;   12;    0;    0;    0;   11;   11;   11;    0;    0
   0;    0;   4M;   4M;   4M;   4M;   4P;    4;    4;    4;    4;    4;    5;    5;    5;   5M;    5;   2M;    2;   2M;    2;   13;   12;   12;   13;    0;    0;   11;    0;    0;    0;    0
   0;   4M;    4;   4M;   4M;   4M;   4M;    4;    4;   4P;    4;    4;    5;    5;    5;    5;    2;    2;   2M;    2;   2M;   13;   13;  13M;  13M;   13;    0;    0;    0;    0;    0;    0
   0;   4M;   4M;   4M;   4M;    4;    4;    4;    4;    4;    4;    4;    5;    5;    0;    5;    2;    2;    2;   2M;    2;    2;  14M;  13M;  16M;  13M;    0;    0;    0;    0;    0;    0
   0;    4;   4M;   4M;   4M;   4M;    4;    4;    4;    4;    4;    4;    5;    5;    5;    8;    8;    2;    2;    2;    2;    2;   15;  13M;  16M;    0;    0;    0;    0;    0;    0;    0
