16 16
4
7
12
7 4
   0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0
   0;   7P;    8;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;   11;    0
   0;    6;    0;    0;    0;    0;    0;    0;    0;    0;    0;   1M;   1M;    0;   11;    0
   0;    6;    6;    0;    0;   10;    0;    0;    0;    0;    0;   1P;    1;   11;   11;    0
   0;    6;    6;    6;    6;   1M;   1M;    0;    1;   1M;   1M;    1;   1M;   1M;   11;    0
   0;    0;    0;    6;    6;   1P;   1M;   1M;   1M;    1;    1;    1;   1M;   1M;   1M;    0
   0;    6;   6M;   6M;    1;   1M;   1M;    0;    1;    1;   1M;    1;    1;    1;    1;    0
   0;    6;    6;    6;    1;   1P;    1;    1;    1;   1M;   1M;   9M;    0;    0;    1;    0
   0;   6P;   6M;   2M;    1;    1;    1;    1;   1M;   1M;   1M;   1M;   1M;    1;    1;    0
   0;    0;   2M;   2M;   2M;    1;    1;   1M;   1M;   1M;   1M;   1M;   1M;    1;    1;    0
   0;    0;    0;    0;    2;   2M;   1M;   1M;   1M;   1M;   1M;   1M;   1M;   1M;   1M;    0
   0;    0;    0;    0;    0;   2M;   1M;   1M;   1M;   1M;   1M;   5M;   1M;   1M;   1M;    0
   0;    0;    0;    0;    0;    0;   1M;    1;   3M;    1;    1;    3;    0;    0;    0;    0
   0;    0;    0;    0;    0;    0;    4;   1M;    3;   3M;    3;    3;    0;    0;    0;    0
   0;    0;    0;    0;    0;    0;    3;    3;   3M;    0;    0;    0;    0;    0;    0;    0
   0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0
