32 32
3
5
17
14 12
   0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0
   0;    0;    0;    0;    0;    0;    0;    0;    5;    5;    5;    0;    0;    0;   7M;   7M;   7M;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0
   0;    0;    0;    0;    0;    0;    5;    5;    5;    0;    5;    0;    0;    0;   7M;   7M;    7;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0
   0;    0;    0;    0;    0;    0;    5;    0;    0;    5;    5;    0;    5;    0;   7M;   7M;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0
   0;    0;    0;    0;    0;    0;    0;    0;    0;   5M;    5;    5;    5;   5M;   7M;   7M;    8;   12;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0
   0;    1;    0;    0;    0;    0;    0;    0;    0;    5;   5M;    5;   5M;   5M;   7M;   7M;    7;   12;    0;    6;    0;    0;    0;    0;    0;    9;    0;    0;    0;    0;    0;    0
   0;   1M;   1M;   1M;   1M;    0;    0;    0;    0;    5;    5;   5M;    5;    5;   5M;    5;   11;   12;   12;    6;    0;    0;    0;    9;    9;    9;    0;    0;    0;    0;    0;    0
   0;   1M;   1M;   1M;   1M;    0;    0;    0;   16;    5;    5;    5;   5M;   5M;   5M;   5M;    5;   12;   12;    6;    0;    0;    9;    9;    9;    9;    0;    0;    0;    0;    0;    0
   0;   1M;   1M;   1M;   1M;    0;    0;    0;   16;   5M;   5M;    5;   5M;    5;   5M;    0;    6;    6;    6;    6;    0;    0;    9;    9;    9;    9;    0;    0;    0;    0;    0;    0
   0;   1M;   1M;   1M;   1P;    0;    0;    0;    0;    0;    3;   3M;    5;    5;    5;    4;    6;    4;    4;    2;    2;   14;   14;   9M;    9;    9;    0;    0;    0;    0;    0;    0
   0;    0;   1M;   1M;    1;    1;    0;    0;    3;   3M;  13M;   3M;   5M;    5;   4P;    4;    4;   4M;   2M;   2M;   2M;   14;    9;   9P;   9M;    9;    0;    0;    0;    0;    0;    0
   0;    0;    1;   1M;   1M;    1;    0;    0;   3M;   3M;   3M;   3M;   3M;    3;   3M;    3;   3M;    2;   2M;    2;   2M;   14;    9;    9;    9;   9M;    0;    0;    0;    0;    0;    0
   0;    1;    1;   1M;    1;    1;    3;   3M;    3;   3M;   3M;   3M;   3M;    3;   3M;   3M;    3;    2;    2;   2M;   2M;  14M;   14;    9;   9M;   9M;    0;    0;    0;    0;    0;    0
   0;    1;   1M;    1;    0;    1;    1;    1;    1;    3;   3M;   3M;   3P;    1;   1M;   1M;   1M;    2;   2M;    2;   2M;    9;   9M;    9;   9M;  15M;    0;    0;    0;    0;    0;    0
   0;    0;   1M;   1M;    1;    1;   1M;   1M;    1;    1;   3M;    1;    1;    1;    1;   1M;   1M;   2M;    2;   2M;    2;   9M;    9;   9M;   15;   15;    0;    0;    0;    0;    0;    0
   0;   1M;   1M;   1M;    1;    1;    1;   1M;    1;    1;    1;    1;    1;    1;    1;    1;    1;    1;    1;    2;    9;    9;    9;   9M;    9;    9;    0;    0;    0;    0;    0;    0
   0;    1;   1M;   1M;   1M;    1;    1;   1M;   1M;    1;    1;    1;    1;    1;   1M;    1;   1M;    1;   1M;   9P;   9M;   9M;    9;    9;   9P;    0;    0;    0;    0;    0;    0;    0
   0;   1M;   1M;   1M;   1M;   1M;   1M;   1M;    1;    1;    1;    1;    1;    1;   1M;    1;   1M;   1M;   10;  10M;  10M;  10M;    9;    9;    9;    9;    0;    0;    0;    0;    0;    0
   0;    0;    0;    0;   1M;   1M;   1M;   1M;   1M;    1;    1;    1;   1M;   1M;   1M;   1P;   1M;   1M;  10M;   1M;   1M;    1;    0;    0;    9;    9;    0;    0;    0;    0;    0;    0
   0;    0;    0;    0;    1;   1M;   1M;   1M;   1M;   1M;    1;    1;   1M;   1M;   1M;   1M;    1;    1;  10M;   1M;   1M;   1M;    1;    1;    1;    9;    0;    0;    0;    0;    0;    0
   0;    0;    0;    1;    1;    1;    1;    1;   1M;   1M;   1M;    1;   1M;   1M;   1M;   1M;    1;    1;  10M;    1;    1;    1;    1;    1;    1;    0;    0;    0;    0;    0;    0;    0
   0;    0;    0;    1;    1;    1;    0;   1M;   1M;   1M;   1M;    1;   1M;   1M;    1;   1M;   1M;   1M;   1M;    1;    1;    1;    1;    1;    1;    1;    1;    0;    0;    0;    0;    0
   0;    0;    0;    0;    0;    0;    0;   1M;   1M;   1M;   1M;    1;   1M;    1;   1M;   1M;   1M;    1;    1;    1;    1;    1;    1;   1M;    1;    1;    1;    0;    0;    0;    0;    0
   0;    0;    0;    0;    0;    0;    0;   1M;   1M;   1M;   1M;    1;   1M;   1M;   1M;   1M;   1M;   1M;    1;    1;    1;   1M;    1;    0;   1M;    1;    0;    0;    0;    0;    0;    0
   0;    0;    0;    0;    0;    0;    0;   1M;   1M;   1M;   1M;    1;   1M;    0;   1M;   1M;   1M;   1M;    1;    1;    1;    1;   1M;   1M;    1;    1;   1M;    0;    0;    0;    0;    0
   0;    0;    0;    0;    1;   1P;    1;    1;    1;    1;    1;    1;    1;    1;    1;   1M;   1M;   1M;    1;    1;   1M;   1M;   1M;   1M;    1;   1M;    1;    1;    0;    0;    0;    0
   0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    1;    1;    1;    1;    1;   1M;   1M;   1M;    1;    0;    1;   1M;   1M;   1M;   1M;    1;    1;    1;    0;    0;    0;    0
   0;    0;    0;    0;    0;    0;    0;    0;    1;    0;    1;    1;    1;    1;   1M;    1;   1M;   1M;    1;    0;    1;   1M;   1M;   1M;    1;    0;    0;    1;    1;    1;    1;    0
   0;    0;    0;    0;    0;    1;    1;    1;    1;    1;    1;    1;    1;   1M;   1M;   1M;   1M;   1M;    1;    1;    1;   1M;   1M;    1;    0;    0;    0;    1;    1;    0;    0;    0
   0;    0;    0;    0;    0;    0;    1;    1;    1;    1;    0;    1;    0;    0;    1;   1M;   1M;    1;    1;    1;    1;    1;   1M;   1M;    1;   1M;    1;    1;   1M;    0;    0;    0
   0;    0;    0;    0;    0;    0;    0;    1;    0;    0;    0;    1;    0;    1;    1;    1;    1;   1M;    1;    1;    1;    0;    1;    0;    0;    0;    0;    0;    0;    0;    0;    0
   0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0
